order_id,order_date,product_name,product_category,quantity,unit_price,total_amount,customer_region,customer_country,customer_state,customer_location,sales_channel,customer_type,shipping_method,order_status,profit_margin
39,2025-02-16,女装短袖T恤,女装,19,67.46,1281.81,亚洲,韩国,釜山广域市,韩国 - 釜山广域市,eBay,老客户,标准配送,已发货,0.37
40,2024-06-28,女装短袖T恤,女装,28,75.48,2113.57,欧洲,英国,威尔士,英国 - 威尔士,eBay,VIP客户,标准配送,已取消,0.41
41,2024-11-16,女装短袖T恤,女装,9,79.29,713.62,北美,加拿大,不列颠哥伦比亚省,加拿大 - 不列颠哥伦比亚省,eBay,新客户,标准配送,已发货,0.27
42,2024-05-04,女装短袖T恤,女装,4,34.54,138.15,欧洲,西班牙,巴伦西亚自治区,西班牙 - 巴伦西亚自治区,AliExpress,VIP客户,快速配送,已完成,0.18
43,2024-04-16,女装短袖T恤,女装,6,55.64,333.85,北美,加拿大,安大略省,加拿大 - 安大略省,Amazon,VIP客户,快速配送,处理中,0.37
44,2024-06-09,女装短袖T恤,女装,32,41.96,1342.84,澳洲,澳大利亚,昆士兰州,澳大利亚 - 昆士兰州,Amazon,VIP客户,快速配送,已完成,0.31
45,2025-01-25,女装短袖T恤,女装,28,66.94,1874.22,北美,墨西哥,哈利斯科州,墨西哥 - 哈利斯科州,独立站,老客户,标准配送,处理中,0.34
46,2025-06-02,女装短袖T恤,女装,7,36.02,252.16,亚洲,新加坡,新加坡,新加坡 - 新加坡,独立站,老客户,经济配送,处理中,0.32
47,2024-02-05,女装短袖T恤,女装,14,61.55,861.63,北美,加拿大,魁北克省,加拿大 - 魁北克省,Wish,VIP客户,快速配送,已取消,0.31
48,2023-07-24,女装短袖T恤,女装,15,45.09,676.38,欧洲,西班牙,安达卢西亚自治区,西班牙 - 安达卢西亚自治区,Shopify,老客户,快速配送,已发货,0.3
49,2024-01-13,女装短袖T恤,女装,24,51.08,1225.96,欧洲,西班牙,安达卢西亚自治区,西班牙 - 安达卢西亚自治区,Amazon,新客户,经济配送,处理中,0.22
50,2024-02-12,女装短袖T恤,女装,5,16.71,83.55,北美,美国,乔治亚州,美国 - 乔治亚州,Wish,新客户,快速配送,已取消,0.42
51,2025-03-04,女装短袖T恤,女装,7,65.28,456.99,南美,阿根廷,科尔多瓦省,阿根廷 - 科尔多瓦省,Shopify,新客户,标准配送,已完成,0.42
52,2023-11-10,女装短袖T恤,女装,25,44.76,1119.01,亚洲,韩国,大田广域市,韩国 - 大田广域市,Shopify,新客户,经济配送,已发货,0.43
53,2023-11-25,女装短袖T恤,女装,17,47.53,807.93,澳洲,新西兰,惠灵顿大区,新西兰 - 惠灵顿大区,Wish,VIP客户,经济配送,已取消,0.4
54,2025-02-04,女装短袖T恤,女装,15,77.8,1167.07,澳洲,新西兰,惠灵顿大区,新西兰 - 惠灵顿大区,独立站,新客户,经济配送,处理中,0.38
55,2025-01-07,女装短袖T恤,女装,16,58.87,941.96,欧洲,法国,奥克西塔尼大区,法国 - 奥克西塔尼大区,Amazon,VIP客户,快速配送,已发货,0.23
56,2024-06-15,女装短袖T恤,女装,28,41.81,1170.75,澳洲,澳大利亚,维多利亚州,澳大利亚 - 维多利亚州,Amazon,老客户,快速配送,处理中,0.31
57,2024-09-21,女装短袖T恤,女装,2,44.41,88.82,北美,墨西哥,墨西哥城,墨西哥 - 墨西哥城,Wish,老客户,快速配送,已完成,0.43
58,2024-05-24,女装短袖T恤,女装,25,42.3,1057.48,北美,加拿大,马尼托巴省,加拿大 - 马尼托巴省,AliExpress,VIP客户,经济配送,已发货,0.3
59,2024-04-28,女装短袖T恤,女装,17,42.22,717.74,北美,墨西哥,普埃布拉州,墨西哥 - 普埃布拉州,AliExpress,新客户,快速配送,已发货,0.44
60,2025-01-20,女装短袖T恤,女装,1,78.49,78.49,北美,墨西哥,墨西哥城,墨西哥 - 墨西哥城,Amazon,VIP客户,快速配送,已发货,0.41
61,2024-01-26,女装短袖T恤,女装,2,33.21,66.42,欧洲,法国,奥弗涅-罗纳-阿尔卑斯大区,法国 - 奥弗涅-罗纳-阿尔卑斯大区,Shopify,老客户,快速配送,已取消,0.23
62,2024-09-27,女装短袖T恤,女装,9,73.44,660.99,北美,加拿大,安大略省,加拿大 - 安大略省,AliExpress,VIP客户,标准配送,处理中,0.22
63,2023-10-02,女装短袖T恤,女装,25,82.01,2050.25,亚洲,日本,东京都,日本 - 东京都,eBay,新客户,标准配送,已发货,0.22
64,2024-11-19,女装短袖T恤,女装,22,23.01,506.16,欧洲,英国,北爱尔兰,英国 - 北爱尔兰,AliExpress,老客户,快速配送,已发货,0.33
65,2023-11-18,女装短袖T恤,女装,33,82.53,2723.5,北美,美国,加利福尼亚州,美国 - 加利福尼亚州,独立站,VIP客户,经济配送,已取消,0.27
66,2024-02-12,女装短袖T恤,女装,3,56.45,169.34,欧洲,英国,英格兰,英国 - 英格兰,AliExpress,老客户,经济配送,已完成,0.39
67,2025-02-22,女装短袖T恤,女装,2,44.99,89.97,北美,加拿大,安大略省,加拿大 - 安大略省,Wish,VIP客户,快速配送,已完成,0.4
68,2024-12-06,女装短袖T恤,女装,4,45.35,181.39,亚洲,新加坡,新加坡,新加坡 - 新加坡,AliExpress,新客户,快速配送,已发货,0.37
69,2025-05-20,女装短袖T恤,女装,9,58.11,523.02,北美,墨西哥,普埃布拉州,墨西哥 - 普埃布拉州,Shopify,老客户,经济配送,处理中,0.25
70,2024-03-31,女装短袖T恤,女装,3,46.56,139.67,南美,阿根廷,圣菲省,阿根廷 - 圣菲省,Wish,VIP客户,快速配送,处理中,0.16
71,2024-06-20,女装短袖T恤,女装,10,39.84,398.38,亚洲,新加坡,新加坡,新加坡 - 新加坡,独立站,VIP客户,经济配送,处理中,0.32
72,2025-01-03,女装短袖T恤,女装,7,20.99,146.95,北美,墨西哥,普埃布拉州,墨西哥 - 普埃布拉州,Shopify,VIP客户,标准配送,已取消,0.34
73,2024-12-07,女装短袖T恤,女装,20,21.51,430.27,北美,美国,俄亥俄州,美国 - 俄亥俄州,AliExpress,新客户,快速配送,处理中,0.29
74,2025-01-17,女装短袖T恤,女装,12,44.79,537.42,亚洲,泰国,清迈府,泰国 - 清迈府,独立站,VIP客户,快速配送,处理中,0.24
75,2024-03-16,女装短袖T恤,女装,5,37.09,185.44,亚洲,泰国,春武里府,泰国 - 春武里府,eBay,新客户,经济配送,已取消,0.23
76,2025-03-18,女装短袖T恤,女装,25,51.72,1293.11,亚洲,新加坡,新加坡,新加坡 - 新加坡,eBay,老客户,标准配送,处理中,0.2
77,2023-08-07,女装短袖T恤,女装,40,34.2,1368.07,亚洲,日本,埼玉县,日本 - 埼玉县,独立站,VIP客户,标准配送,已取消,0.18
78,2023-08-05,女装短袖T恤,女装,36,38.85,1398.58,北美,美国,伊利诺伊州,美国 - 伊利诺伊州,Shopify,新客户,标准配送,已取消,0.3
79,2025-03-05,女装短袖T恤,女装,21,63.05,1324.08,欧洲,英国,苏格兰,英国 - 苏格兰,Wish,老客户,标准配送,已发货,0.19
80,2024-09-22,女装短袖T恤,女装,25,58.29,1457.23,北美,墨西哥,普埃布拉州,墨西哥 - 普埃布拉州,Shopify,老客户,快速配送,已取消,0.24
81,2025-04-19,女装短袖T恤,女装,2,66.81,133.61,澳洲,澳大利亚,维多利亚州,澳大利亚 - 维多利亚州,独立站,VIP客户,标准配送,已发货,0.22
82,2025-02-08,女装短袖T恤,女装,3,43.6,130.79,亚洲,泰国,普吉府,泰国 - 普吉府,独立站,新客户,标准配送,处理中,0.36
83,2025-07-12,女装短袖T恤,女装,23,33.52,770.93,北美,墨西哥,哈利斯科州,墨西哥 - 哈利斯科州,Shopify,新客户,经济配送,已发货,0.34
84,2024-04-21,女装短袖T恤,女装,5,26.61,133.07,北美,加拿大,马尼托巴省,加拿大 - 马尼托巴省,AliExpress,VIP客户,快速配送,已取消,0.19
85,2025-06-28,女装短袖T恤,女装,26,50.03,1300.86,北美,加拿大,阿尔伯塔省,加拿大 - 阿尔伯塔省,Amazon,VIP客户,标准配送,已取消,0.37
86,2025-04-02,女装短袖T恤,女装,9,16.81,151.29,北美,美国,加利福尼亚州,美国 - 加利福尼亚州,AliExpress,老客户,经济配送,已完成,0.38
87,2024-01-19,女装短袖T恤,女装,16,51.33,821.24,亚洲,马来西亚,柔佛州,马来西亚 - 柔佛州,eBay,VIP客户,快速配送,已取消,0.44
88,2024-11-16,女装短袖T恤,女装,14,37.47,524.64,亚洲,日本,大阪府,日本 - 大阪府,独立站,老客户,经济配送,已取消,0.24
89,2024-09-06,女装短袖T恤,女装,25,53.51,1337.67,澳洲,新西兰,奥克兰大区,新西兰 - 奥克兰大区,独立站,老客户,快速配送,已完成,0.44
90,2024-09-09,女装短袖T恤,女装,17,72.74,1236.66,欧洲,德国,黑森州,德国 - 黑森州,Shopify,老客户,标准配送,已发货,0.31
91,2025-04-21,女装短袖T恤,女装,25,49.89,1247.36,北美,加拿大,安大略省,加拿大 - 安大略省,eBay,老客户,经济配送,已发货,0.43
92,2024-10-14,女装短袖T恤,女装,23,48.93,1125.39,亚洲,日本,千叶县,日本 - 千叶县,Wish,新客户,经济配送,已发货,0.24
93,2023-08-07,女装短袖T恤,女装,30,30.73,921.87,亚洲,日本,爱知县,日本 - 爱知县,Amazon,VIP客户,标准配送,已取消,0.43
94,2024-05-17,女装短袖T恤,女装,17,64.38,1094.44,欧洲,意大利,西西里大区,意大利 - 西西里大区,Shopify,新客户,快速配送,已发货,0.27
95,2025-03-28,女装短袖T恤,女装,17,67.24,1143.09,亚洲,韩国,首尔特别市,韩国 - 首尔特别市,独立站,老客户,快速配送,处理中,0.4
96,2024-05-08,女装短袖T恤,女装,24,35.9,861.57,欧洲,西班牙,巴伦西亚自治区,西班牙 - 巴伦西亚自治区,eBay,老客户,经济配送,已取消,0.25
97,2025-02-08,女装短袖T恤,女装,31,46.87,1453.1,欧洲,法国,奥弗涅-罗纳-阿尔卑斯大区,法国 - 奥弗涅-罗纳-阿尔卑斯大区,AliExpress,新客户,经济配送,已取消,0.22
98,2024-09-16,女装短袖T恤,女装,2,37.27,74.54,欧洲,意大利,西西里大区,意大利 - 西西里大区,Shopify,VIP客户,经济配送,已发货,0.3
99,2023-08-30,女装短袖T恤,女装,8,56.31,450.5,北美,美国,乔治亚州,美国 - 乔治亚州,Amazon,VIP客户,快速配送,已完成,0.37
100,2024-09-15,女装短袖T恤,女装,29,20.24,586.9,北美,加拿大,不列颠哥伦比亚省,加拿大 - 不列颠哥伦比亚省,Wish,VIP客户,快速配送,已完成,0.41
101,2025-06-13,女装短袖T恤,女装,29,37.17,1077.82,北美,墨西哥,普埃布拉州,墨西哥 - 普埃布拉州,Wish,新客户,经济配送,已完成,0.22
102,2025-06-23,女装短袖T恤,女装,21,67.27,1412.75,亚洲,马来西亚,吉隆坡,马来西亚 - 吉隆坡,AliExpress,VIP客户,标准配送,已取消,0.2
103,2024-05-25,女装短袖T恤,女装,1,70.73,70.73,北美,加拿大,不列颠哥伦比亚省,加拿大 - 不列颠哥伦比亚省,独立站,老客户,标准配送,已发货,0.31
104,2025-02-22,女装短袖T恤,女装,29,26.9,780.07,欧洲,德国,黑森州,德国 - 黑森州,Shopify,VIP客户,经济配送,已发货,0.3
105,2025-03-12,女装短袖T恤,女装,5,31.25,156.27,澳洲,新西兰,惠灵顿大区,新西兰 - 惠灵顿大区,独立站,VIP客户,标准配送,已取消,0.42
106,2025-06-16,女装短袖T恤,女装,25,45.92,1148.03,北美,加拿大,马尼托巴省,加拿大 - 马尼托巴省,独立站,VIP客户,快速配送,处理中,0.29
107,2024-05-28,女装短袖T恤,女装,7,84.96,594.69,欧洲,意大利,伦巴第大区,意大利 - 伦巴第大区,eBay,老客户,经济配送,处理中,0.32
108,2025-07-09,女装短袖T恤,女装,13,73.1,950.33,亚洲,马来西亚,柔佛州,马来西亚 - 柔佛州,Amazon,VIP客户,经济配送,已完成,0.42
109,2024-12-13,女装短袖T恤,女装,10,69.3,693.02,北美,美国,宾夕法尼亚州,美国 - 宾夕法尼亚州,eBay,VIP客户,标准配送,处理中,0.35
110,2025-05-29,女装短袖T恤,女装,22,73.68,1621.04,北美,墨西哥,墨西哥城,墨西哥 - 墨西哥城,AliExpress,VIP客户,标准配送,处理中,0.39
111,2023-08-27,女装短袖T恤,女装,35,78.67,2753.59,北美,加拿大,阿尔伯塔省,加拿大 - 阿尔伯塔省,eBay,新客户,标准配送,处理中,0.31
112,2024-04-28,女装短袖T恤,女装,7,72.73,509.1,北美,加拿大,不列颠哥伦比亚省,加拿大 - 不列颠哥伦比亚省,AliExpress,老客户,标准配送,已取消,0.44
113,2023-12-15,女装短袖T恤,女装,25,82.66,2066.38,澳洲,新西兰,坎特伯雷大区,新西兰 - 坎特伯雷大区,独立站,新客户,快速配送,已完成,0.23
114,2023-11-27,女装短袖T恤,女装,15,40.8,612.01,亚洲,新加坡,新加坡,新加坡 - 新加坡,AliExpress,老客户,标准配送,已发货,0.29
115,2025-04-18,女装短袖T恤,女装,18,37.96,683.29,亚洲,泰国,春武里府,泰国 - 春武里府,AliExpress,新客户,经济配送,已取消,0.42
116,2024-05-28,女装短袖T恤,女装,21,43.58,915.19,澳洲,澳大利亚,新南威尔士州,澳大利亚 - 新南威尔士州,Amazon,老客户,快速配送,已完成,0.18
117,2025-01-24,女装短袖T恤,女装,5,42.21,211.03,亚洲,新加坡,新加坡,新加坡 - 新加坡,Wish,VIP客户,经济配送,已发货,0.42
118,2025-05-24,女装短袖T恤,女装,5,58.1,290.48,北美,加拿大,安大略省,加拿大 - 安大略省,AliExpress,老客户,标准配送,已取消,0.28
119,2024-03-21,女装短袖T恤,女装,12,21.95,263.46,澳洲,新西兰,坎特伯雷大区,新西兰 - 坎特伯雷大区,AliExpress,老客户,标准配送,已取消,0.23
120,2023-11-26,女装短袖T恤,女装,16,29.85,477.56,欧洲,西班牙,马德里自治区,西班牙 - 马德里自治区,Amazon,老客户,标准配送,已发货,0.39
121,2024-02-19,女装短袖T恤,女装,3,73.09,219.26,亚洲,泰国,春武里府,泰国 - 春武里府,Wish,新客户,标准配送,处理中,0.38
122,2025-03-25,女装短袖T恤,女装,1,34.41,34.41,澳洲,澳大利亚,维多利亚州,澳大利亚 - 维多利亚州,Wish,老客户,标准配送,已完成,0.35
123,2023-08-19,女装短袖T恤,女装,8,31.66,253.24,北美,加拿大,安大略省,加拿大 - 安大略省,eBay,老客户,标准配送,已发货,0.37
124,2025-01-12,女装短袖T恤,女装,5,48.34,241.69,北美,加拿大,马尼托巴省,加拿大 - 马尼托巴省,Wish,新客户,快速配送,已发货,0.43
125,2023-09-06,女装短袖T恤,女装,24,69.83,1675.82,北美,墨西哥,新莱昂州,墨西哥 - 新莱昂州,Shopify,VIP客户,标准配送,已完成,0.45
126,2024-09-07,女装短袖T恤,女装,18,49.32,887.74,欧洲,意大利,伦巴第大区,意大利 - 伦巴第大区,Amazon,老客户,经济配送,已发货,0.17
127,2024-04-30,女装短袖T恤,女装,20,59.32,1186.31,亚洲,泰国,清迈府,泰国 - 清迈府,Shopify,VIP客户,经济配送,处理中,0.29
128,2025-04-03,女装短袖T恤,女装,14,21.94,307.19,澳洲,澳大利亚,南澳大利亚州,澳大利亚 - 南澳大利亚州,AliExpress,新客户,快速配送,已取消,0.42
129,2024-09-19,女装短袖T恤,女装,11,72.92,802.11,北美,加拿大,阿尔伯塔省,加拿大 - 阿尔伯塔省,AliExpress,新客户,快速配送,已取消,0.24
130,2024-04-10,女装短袖T恤,女装,12,81.75,981.02,欧洲,意大利,伦巴第大区,意大利 - 伦巴第大区,Amazon,新客户,标准配送,已取消,0.18
131,2024-08-08,女装短袖T恤,女装,9,56.05,504.47,欧洲,西班牙,安达卢西亚自治区,西班牙 - 安达卢西亚自治区,AliExpress,新客户,快速配送,处理中,0.41
132,2024-09-29,女装短袖T恤,女装,26,35.13,913.49,北美,加拿大,不列颠哥伦比亚省,加拿大 - 不列颠哥伦比亚省,Amazon,VIP客户,经济配送,已发货,0.2
133,2024-11-28,女装短袖T恤,女装,8,74.31,594.47,北美,加拿大,马尼托巴省,加拿大 - 马尼托巴省,独立站,新客户,快速配送,已发货,0.39
134,2025-02-17,女装短袖T恤,女装,25,72.29,1807.25,北美,墨西哥,墨西哥城,墨西哥 - 墨西哥城,Wish,VIP客户,经济配送,处理中,0.16
135,2024-04-28,女装短袖T恤,女装,30,79.51,2385.23,澳洲,新西兰,奥克兰大区,新西兰 - 奥克兰大区,eBay,新客户,经济配送,已取消,0.17
136,2025-05-02,女装短袖T恤,女装,1,21.42,21.42,北美,墨西哥,哈利斯科州,墨西哥 - 哈利斯科州,Shopify,老客户,快速配送,处理中,0.2
137,2024-06-07,女装短袖T恤,女装,38,80.9,3074.14,欧洲,西班牙,马德里自治区,西班牙 - 马德里自治区,Amazon,新客户,标准配送,已完成,0.35
138,2024-04-27,女装短袖T恤,女装,19,49.0,930.93,亚洲,马来西亚,槟城州,马来西亚 - 槟城州,独立站,新客户,经济配送,已完成,0.25
139,2023-11-14,女装短袖T恤,女装,10,62.48,624.75,欧洲,西班牙,巴伦西亚自治区,西班牙 - 巴伦西亚自治区,Wish,VIP客户,快速配送,已完成,0.22
140,2025-03-28,女装短袖T恤,女装,2,15.54,31.08,南美,阿根廷,布宜诺斯艾利斯省,阿根廷 - 布宜诺斯艾利斯省,eBay,老客户,快速配送,处理中,0.19
141,2024-12-14,女装短袖T恤,女装,29,24.04,697.25,南美,智利,比奥比奥大区,智利 - 比奥比奥大区,eBay,VIP客户,经济配送,处理中,0.17
142,2023-09-05,女装短袖T恤,女装,14,16.31,228.37,北美,美国,宾夕法尼亚州,美国 - 宾夕法尼亚州,Wish,老客户,经济配送,已取消,0.36
143,2024-09-23,女装短袖T恤,女装,10,23.06,230.62,欧洲,德国,巴登-符腾堡州,德国 - 巴登-符腾堡州,eBay,VIP客户,快速配送,处理中,0.18
144,2023-11-09,女装短袖T恤,女装,8,45.5,363.98,北美,加拿大,马尼托巴省,加拿大 - 马尼托巴省,Amazon,老客户,快速配送,处理中,0.22
145,2024-01-12,女装短袖T恤,女装,3,50.73,152.2,北美,美国,佛罗里达州,美国 - 佛罗里达州,独立站,老客户,经济配送,已发货,0.22
146,2023-12-20,女装短袖T恤,女装,9,28.81,259.28,北美,墨西哥,哈利斯科州,墨西哥 - 哈利斯科州,AliExpress,新客户,标准配送,已取消,0.29
147,2025-02-20,女装短袖T恤,女装,25,55.56,1389.07,亚洲,泰国,清迈府,泰国 - 清迈府,AliExpress,老客户,标准配送,已取消,0.17
148,2024-10-18,女装短袖T恤,女装,21,36.2,760.15,欧洲,法国,法兰西岛大区,法国 - 法兰西岛大区,独立站,VIP客户,标准配送,处理中,0.29
149,2023-08-31,女装短袖T恤,女装,3,35.1,105.29,北美,墨西哥,墨西哥城,墨西哥 - 墨西哥城,Wish,VIP客户,经济配送,已取消,0.29
150,2025-02-10,女装短袖T恤,女装,24,77.71,1865.07,北美,加拿大,马尼托巴省,加拿大 - 马尼托巴省,AliExpress,新客户,快速配送,已取消,0.3
151,2023-09-25,女装短袖T恤,女装,15,22.25,333.68,澳洲,新西兰,坎特伯雷大区,新西兰 - 坎特伯雷大区,Amazon,VIP客户,经济配送,已发货,0.16
152,2025-07-17,女装短袖T恤,女装,32,51.68,1653.91,北美,墨西哥,哈利斯科州,墨西哥 - 哈利斯科州,独立站,老客户,快速配送,已取消,0.27
153,2024-07-04,女装短袖T恤,女装,40,70.25,2809.84,北美,墨西哥,新莱昂州,墨西哥 - 新莱昂州,Amazon,老客户,标准配送,已取消,0.24
154,2025-05-26,女装短袖T恤,女装,20,76.13,1522.59,欧洲,法国,法兰西岛大区,法国 - 法兰西岛大区,Wish,VIP客户,标准配送,处理中,0.24
155,2025-05-25,女装短袖T恤,女装,29,24.03,696.77,南美,智利,圣地亚哥首都大区,智利 - 圣地亚哥首都大区,独立站,VIP客户,快速配送,处理中,0.39
156,2025-06-09,女装短袖T恤,女装,47,66.71,3135.57,北美,墨西哥,墨西哥城,墨西哥 - 墨西哥城,AliExpress,VIP客户,快速配送,处理中,0.16
157,2024-06-04,女装短袖T恤,女装,12,38.92,467.06,亚洲,马来西亚,雪兰莪州,马来西亚 - 雪兰莪州,eBay,新客户,标准配送,已完成,0.24
158,2023-11-04,女装短袖T恤,女装,22,73.46,1616.08,亚洲,泰国,曼谷,泰国 - 曼谷,AliExpress,老客户,经济配送,已发货,0.33
159,2023-12-28,女装短袖T恤,女装,6,27.66,165.96,北美,墨西哥,哈利斯科州,墨西哥 - 哈利斯科州,AliExpress,老客户,标准配送,已取消,0.26
160,2024-03-23,女装短袖T恤,女装,19,67.67,1285.68,亚洲,马来西亚,雪兰莪州,马来西亚 - 雪兰莪州,Wish,新客户,快速配送,已取消,0.42
161,2024-02-07,女装短袖T恤,女装,12,62.48,749.78,欧洲,西班牙,巴伦西亚自治区,西班牙 - 巴伦西亚自治区,Shopify,老客户,快速配送,已取消,0.44
162,2024-02-13,女装短袖T恤,女装,20,24.69,493.76,亚洲,新加坡,新加坡,新加坡 - 新加坡,AliExpress,老客户,快速配送,已完成,0.36
