店铺名称,平台来源,店铺年份,店铺评分,店铺评论数量,主营产品,月产能,最小起订量,交货周期,所在地区,认证情况,价格等级,质量等级,爬取时间,合作年限,退货率,准时交货率,出口经验,贸易保障
佛山国际童装有限公司,1688,10年,4.8,"19,192",童装,75947件,166件,25天,福建,OEKO-TEX,高价,标准,2025-07-23 19:01:58,1年,4.1%,89.5%,,
广州时尚童装集团,1688,13年,4.7,"25,539",童装,65759件,271件,16天,福建,"ISO9001, BSCI, FCC",中价,优质,2025-07-23 19:01:58,8年,3.2%,90.1%,,
中山制造童装贸易公司,1688,10年,4.6,"15,219",童装,31587件,53件,13天,广东,"BSCI, WRAP, FCC",低价,标准,2025-07-23 19:01:58,5年,2.1%,85.8%,,
中山制造童装有限公司,1688,11年,4.1,"26,705",童装,47923件,354件,6天,福建,"ISO9001, CE, WRAP",中价,标准,2025-07-23 19:01:58,7年,3.1%,97.1%,,
东莞精品童装企业,1688,16年,4.4,"29,156",童装,70104件,941件,17天,山东,WRAP,低价,精品,2025-07-23 19:01:58,14年,1.3%,90.4%,,
广州时尚童装有限公司,1688,13年,4.9,"11,844",童装,95956件,914件,19天,广东,"ISO9001, CE, FCC",高价,精品,2025-07-23 19:01:58,9年,3.9%,86.0%,,
"童装 Manufacturer Co., Ltd",阿里巴巴,13年,4.9,"66,051",童装,114586件,710件,8天,Guangdong,"FCC, CE, ISO9001, BSCI",低价,精品,2025-07-23 19:01:59,3年,3.8%,91.9%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,15年,4.7,"29,652",童装,116497件,134件,20天,Guangdong,"CE, RoHS, ISO9001, WRAP",中价,精品,2025-07-23 19:01:59,5年,0.8%,95.0%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,22年,4.9,"78,981",童装,21138件,1491件,20天,Guangdong,"ISO9001, BSCI",高价,优质,2025-07-23 19:01:59,2年,2.2%,97.3%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,18年,4.6,"15,917",童装,31846件,807件,17天,Guangdong,"WRAP, FCC",中价,标准,2025-07-23 19:01:59,2年,2.6%,97.8%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,18年,4.8,"72,347",童装,96876件,1862件,9天,Fujian,"FCC, ISO9001",高价,优质,2025-07-23 19:01:59,13年,2.9%,87.7%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,6年,4.6,"78,559",童装,159259件,1243件,27天,Jiangsu,"WRAP, RoHS",中价,标准,2025-07-23 19:01:59,2年,2.2%,86.6%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,18年,4.4,"17,289",童装,97385件,1264件,26天,Jiangsu,"BSCI, FCC, RoHS, WRAP",中价,精品,2025-07-23 19:01:59,15年,3.9%,91.6%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,23年,4.2,"64,967",童装,33551件,870件,14天,Fujian,"RoHS, CE",中价,优质,2025-07-23 19:01:59,18年,4.9%,93.2%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,12年,4.2,"74,275",童装,42980件,213件,28天,Jiangsu,"CE, FCC, WRAP",中价,优质,2025-07-23 19:01:59,3年,2.3%,91.6%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,24年,4.6,"18,375",童装,44628件,253件,10天,Guangdong,"BSCI, RoHS, CE, WRAP",高价,标准,2025-07-23 19:01:59,24年,4.5%,97.5%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,5年,4.3,"71,226",童装,70683件,1128件,24天,Fujian,"CE, BSCI, WRAP, RoHS",中价,优质,2025-07-23 19:01:59,3年,2.1%,96.6%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,20年,4.7,"34,028",童装,177914件,357件,18天,Zhejiang,"FCC, RoHS, ISO9001",高价,精品,2025-07-23 19:01:59,15年,2.3%,91.8%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,25年,4.3,"77,770",童装,127673件,1477件,10天,Jiangsu,"RoHS, CE, FCC, BSCI",中价,标准,2025-07-23 19:01:59,22年,2.8%,92.9%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,10年,4.9,"23,696",童装,115627件,1583件,26天,Zhejiang,"RoHS, CE, WRAP",低价,优质,2025-07-23 19:01:59,3年,1.7%,86.8%,是,是
"童装 Manufacturer Co., Ltd",阿里巴巴,15年,4.5,"30,649",童装,99988件,985件,7天,Fujian,"WRAP, ISO9001, RoHS",低价,标准,2025-07-23 19:01:59,7年,1.3%,93.9%,是,是
潮州工厂电子产品贸易公司,1688,3年,5.0,"39,295",电子产品,34752件,213件,17天,浙江,"OEKO-TEX, BSCI",中价,精品,2025-07-23 19:02:01,2年,4.1%,96.6%,,
东莞精品电子产品工厂,1688,20年,5.0,"2,880",电子产品,89348件,427件,17天,山东,"ISO9001, OEKO-TEX, FCC",中价,优质,2025-07-23 19:02:01,19年,4.2%,98.2%,,
潮州工厂电子产品有限公司,1688,8年,4.5,"39,266",电子产品,35431件,704件,21天,浙江,"FCC, BSCI, CE",低价,精品,2025-07-23 19:02:01,6年,1.0%,94.5%,,
潮州工厂电子产品制造厂,1688,5年,4.3,"6,444",电子产品,35680件,471件,25天,广东,"BSCI, ISO9001, WRAP",中价,优质,2025-07-23 19:02:01,5年,4.9%,88.1%,,
惠州纺织电子产品企业,1688,19年,4.8,"31,850",电子产品,77557件,463件,18天,山东,"BSCI, WRAP, FCC",高价,精品,2025-07-23 19:02:01,17年,4.2%,91.9%,,
潮州工厂电子产品制造厂,1688,4年,4.3,"37,986",电子产品,10775件,140件,22天,广东,"BSCI, CE, WRAP",中价,标准,2025-07-23 19:02:01,2年,1.0%,96.2%,,
佛山国际电子产品贸易公司,1688,5年,4.2,"8,298",电子产品,44537件,70件,19天,福建,"ISO9001, WRAP, FCC",高价,精品,2025-07-23 19:02:01,1年,3.5%,91.1%,,
深圳优质电子产品集团,1688,20年,4.6,"48,531",电子产品,52342件,548件,12天,江苏,ISO9001,低价,精品,2025-07-23 19:02:01,1年,4.8%,96.0%,,
潮州工厂电子产品有限公司,1688,3年,4.5,"6,176",电子产品,70672件,371件,10天,山东,"ISO9001, CE, BSCI",中价,精品,2025-07-23 19:02:01,1年,1.6%,92.8%,,
江门出口电子产品企业,1688,20年,4.2,"36,206",电子产品,84052件,349件,8天,广东,"CE, WRAP",高价,精品,2025-07-23 19:02:01,4年,3.5%,96.1%,,
深圳优质电子产品有限公司,1688,20年,4.0,"43,678",电子产品,91411件,725件,20天,浙江,"ISO9001, FCC",中价,标准,2025-07-23 19:02:01,12年,1.2%,90.8%,,
中山制造电子产品企业,1688,18年,4.4,"20,876",电子产品,57227件,680件,12天,山东,"CE, FCC, ISO9001",高价,精品,2025-07-23 19:02:01,16年,1.5%,87.2%,,
广州时尚电子产品企业,1688,4年,4.1,"46,365",电子产品,82468件,801件,5天,山东,BSCI,高价,优质,2025-07-23 19:02:01,2年,0.7%,88.7%,,
汕头集团电子产品贸易公司,1688,7年,4.1,"21,902",电子产品,67030件,745件,12天,浙江,ISO9001,低价,优质,2025-07-23 19:02:01,5年,3.9%,96.3%,,
潮州工厂电子产品制造厂,1688,15年,4.0,"38,956",电子产品,59760件,243件,13天,广东,"ISO9001, FCC, BSCI",中价,精品,2025-07-23 19:02:01,3年,4.4%,88.3%,,
"电子产品 Manufacturer Co., Ltd",阿里巴巴,19年,4.8,"43,842",电子产品,154832件,924件,22天,Guangdong,"WRAP, ISO9001, FCC, CE",中价,精品,2025-07-23 19:02:02,9年,2.6%,94.5%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,21年,4.4,"8,002",电子产品,31431件,983件,25天,Shandong,"WRAP, CE",高价,标准,2025-07-23 19:02:02,7年,1.4%,85.4%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,17年,4.9,"3,174",电子产品,188620件,1660件,17天,Guangdong,"CE, BSCI, ISO9001, WRAP",低价,优质,2025-07-23 19:02:02,14年,4.5%,97.2%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,8年,4.7,"21,800",电子产品,161487件,1730件,21天,Jiangsu,"CE, ISO9001, WRAP",中价,标准,2025-07-23 19:02:02,5年,3.2%,86.7%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,11年,4.4,"78,229",电子产品,140915件,482件,12天,Guangdong,"RoHS, CE, FCC, BSCI",中价,标准,2025-07-23 19:02:02,9年,2.5%,90.6%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,9年,4.5,"47,553",电子产品,122733件,390件,13天,Jiangsu,"ISO9001, BSCI",中价,精品,2025-07-23 19:02:02,7年,3.4%,90.5%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,20年,4.9,"62,185",电子产品,186456件,407件,18天,Zhejiang,"CE, ISO9001",高价,标准,2025-07-23 19:02:02,10年,4.4%,85.4%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,19年,4.6,"32,357",电子产品,125051件,1333件,20天,Jiangsu,"FCC, ISO9001, CE",中价,精品,2025-07-23 19:02:02,14年,1.1%,92.5%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,20年,4.2,"34,121",电子产品,69551件,1243件,16天,Zhejiang,"BSCI, ISO9001, CE",高价,优质,2025-07-23 19:02:02,6年,0.8%,93.0%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,23年,4.3,"77,847",电子产品,190375件,1365件,8天,Guangdong,"WRAP, CE, ISO9001",中价,标准,2025-07-23 19:02:02,6年,0.8%,95.0%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,13年,4.6,"74,430",电子产品,44678件,745件,12天,Guangdong,"CE, BSCI, ISO9001, WRAP",中价,优质,2025-07-23 19:02:02,1年,3.5%,89.6%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,23年,4.3,"74,186",电子产品,42807件,1999件,18天,Guangdong,"RoHS, FCC, WRAP",中价,精品,2025-07-23 19:02:02,15年,2.6%,93.9%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,20年,4.3,"59,388",电子产品,118237件,264件,10天,Fujian,"ISO9001, WRAP, CE, FCC",高价,标准,2025-07-23 19:02:02,15年,3.8%,96.3%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,8年,4.5,"67,144",电子产品,127216件,502件,9天,Jiangsu,"ISO9001, CE",高价,精品,2025-07-23 19:02:02,3年,4.2%,91.6%,是,是
"电子产品 Manufacturer Co., Ltd",阿里巴巴,6年,4.4,"17,280",电子产品,115323件,612件,30天,Guangdong,"ISO9001, CE, FCC, WRAP",中价,优质,2025-07-23 19:02:02,5年,3.1%,90.8%,是,是
深圳市龙华新区优质电子厂,阿里巴巴,12年,4.8,"28,900",电子产品,100000件,500件,10天,广东深圳,"CE, FCC, RoHS",低价,标准,2025-07-23 19:02:09,8年,1.8%,92.3%,,
中山制造美妆用品有限公司,1688,10年,4.1,"39,923",美妆用品,75680件,922件,10天,广东,"FCC, WRAP",中价,标准,2025-07-23 19:02:04,1年,0.9%,87.0%,,
东莞精品美妆用品制造厂,1688,10年,4.8,"15,734",美妆用品,17521件,205件,12天,福建,ISO9001,低价,精品,2025-07-23 19:02:04,5年,1.3%,87.9%,,
江门出口美妆用品有限公司,1688,14年,5.0,"37,231",美妆用品,37272件,451件,21天,山东,FCC,高价,标准,2025-07-23 19:02:04,9年,1.3%,97.0%,,
深圳优质美妆用品集团,1688,6年,4.8,"16,388",美妆用品,59149件,296件,25天,浙江,"CE, OEKO-TEX, ISO9001",低价,优质,2025-07-23 19:02:04,4年,0.7%,92.7%,,
江门出口美妆用品企业,1688,12年,4.1,"40,860",美妆用品,97120件,437件,15天,广东,"CE, WRAP",中价,标准,2025-07-23 19:02:04,7年,2.6%,92.8%,,
潮州工厂美妆用品有限公司,1688,11年,4.7,"20,965",美妆用品,82831件,366件,20天,广东,"OEKO-TEX, FCC",中价,精品,2025-07-23 19:02:04,9年,4.7%,91.8%,,
惠州纺织美妆用品集团,1688,12年,4.4,"46,222",美妆用品,58379件,698件,24天,广东,"BSCI, WRAP, CE",中价,优质,2025-07-23 19:02:04,11年,2.2%,98.8%,,
广州时尚美妆用品集团,1688,3年,4.8,"21,508",美妆用品,90623件,698件,10天,江苏,OEKO-TEX,中价,精品,2025-07-23 19:02:04,2年,2.4%,89.0%,,
潮州工厂美妆用品工厂,1688,20年,4.9,"10,082",美妆用品,34656件,826件,23天,江苏,"BSCI, OEKO-TEX",高价,精品,2025-07-23 19:02:04,9年,1.6%,90.0%,,
潮州工厂美妆用品制造厂,1688,13年,4.0,"31,428",美妆用品,45195件,653件,14天,浙江,OEKO-TEX,低价,标准,2025-07-23 19:02:04,13年,1.5%,94.7%,,
东莞精品美妆用品企业,1688,19年,4.4,"6,521",美妆用品,70731件,795件,19天,山东,"OEKO-TEX, BSCI, FCC",高价,精品,2025-07-23 19:02:04,4年,1.4%,95.0%,,
惠州纺织美妆用品工厂,1688,10年,4.0,"12,468",美妆用品,63189件,742件,9天,江苏,"ISO9001, FCC, OEKO-TEX",高价,精品,2025-07-23 19:02:04,5年,2.1%,88.9%,,
佛山国际美妆用品有限公司,1688,15年,4.1,"10,924",美妆用品,25520件,342件,9天,广东,"FCC, ISO9001, OEKO-TEX",中价,标准,2025-07-23 19:02:04,11年,4.6%,93.4%,,
潮州工厂美妆用品工厂,1688,15年,4.2,"7,525",美妆用品,68559件,681件,22天,山东,OEKO-TEX,低价,优质,2025-07-23 19:02:04,7年,4.1%,94.3%,,
潮州工厂美妆用品有限公司,1688,16年,5.0,"8,416",美妆用品,87431件,568件,14天,福建,"ISO9001, WRAP, OEKO-TEX",高价,标准,2025-07-23 19:02:04,10年,2.0%,89.0%,,
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,16年,4.9,"41,232",美妆用品,24950件,1780件,22天,Zhejiang,"FCC, RoHS",高价,精品,2025-07-23 19:02:05,10年,4.8%,93.9%,是,是
"美妆用品 Manufacturer Co., Ltd",阿里巴巴,22年,4.9,"73,820",美妆用品,19728件,305件,28天,Guangdong,"BSCI, RoHS",中价,标准,2025-07-23 19:02:05,3年,4.6%,96.0%,是,是
